subject,grade,topic
Social Studies,5,The Age of Ancient Greece
Social Studies,5,Famous Explorers and Their Voyages
Social Studies,5,The Age of Ancient Rome
Social Studies,5,The Revolutionary War
Social Studies,5,The American Colonial Era
Social Studies,5,The Branches of Government
Social Studies,5,The Age of Ancient Egypt
Social Studies,5,The Lewis and Clark Expedition
Social Studies,5,The Age of Ancient Athens
Social Studies,5,Immigration and the United States Population
Social Studies,5,The Age of Ancient China
Social Studies,5,The Great Wall of China
Social Studies,5,The Spanish Explorers and Conquistadors
Social Studies,5,The Spanish Missions in California
Social Studies,5,The Diverse Native American Cultures of North America
Social Studies,6,The Indian Independence Movement
Social Studies,6,Early Human Settlements and the Agricultural Revolution
Social Studies,6,The Age of Ancient Sumer
Social Studies,6,The Age of Ancient India
Social Studies,6,Ancient Greece and the Birth of Democracy
Social Studies,6,The Age of Ancient Mesopotamia
Social Studies,6,The Age of Ancient Israel
Social Studies,6,The Enlightenment
Social Studies,6,Mesopotamian Empires and Achievements
Social Studies,6,The Rise of the British Empire
Social Studies,6,The Age of Ancient Persia
Social Studies,6,The Medieval Period
Social Studies,6,The Rise of the Roman Republic
Social Studies,6,The Age of Classical Greece
Social Studies,6,The Persian Empire
Social Studies,6,The Age of Classical Rome
Social Studies,6,The Age of Exploration and Colonization in Latin America
Social Studies,6,Ancient China
Social Studies,6,The Age of Ancient Mali
Social Studies,6,The Rise of Feudalism
Social Studies,6,The Age of Ancient Japan
Social Studies,6,The Age of Medieval Knights
Social Studies,6,The Ancient Civilizations of the Aztec Empire
Social Studies,6,The Inca Empire
Social Studies,6,Greek and Roman Influences on Western Civilization
Social Studies,7,The American Civil Rights Movement in the 1950s and 1960s
Social Studies,7,The Atlantic Slave Trade
Social Studies,7,The Ottoman Empire
Social Studies,7,The American Progressive Era
Social Studies,7,The Vietnam War
Social Studies,7,The United States and its Borders
Social Studies,7,The Cold War in Europe
Social Studies,7,World War II
Social Studies,7,The Black Plague
Social Studies,7,The Vikings
Social Studies,7,The French and Indian War
Social Studies,7,The Great Migration of African Americans
Social Studies,7,The Roman Empire
Social Studies,7,Geography of Asia
Social Studies,7,The Age of the Samurai
Social Studies,7,The U.S. Civil War's Impact on the Reconstruction Era
Social Studies,7,The Protestant Reformation
Social Studies,7,The Mayflower Compact
Social Studies,7,The Scientific Revolution
Social Studies,7,The Silk Road and Trans-Saharan Trade Routes
Social Studies,7,The American Revolutionbetwe
Social Studies,7,The Age of Exploration in the Americas
Social Studies,7,The Age of the Crusades
Social Studies,7,The Spanish Colonization of the Americas
Social Studies,7,The Renaissance in Italy
Social Studies,8,The Mexican-American War
Social Studies,8,The United States in the 19th Century
Social Studies,8,The Reconstruction Era and the Civil Rights Amendments
Social Studies,8,The United States in the 21st Century
Social Studies,8,The Harlem Renaissance
Social Studies,8,The Mexican Revolution
Social Studies,8,The Civil Rights Movement in the United States
Social Studies,8,The United States Government and Legal System
Social Studies,8,American Westward Expansion
Social Studies,8,Global Conflicts and World War I
Social Studies,8,The Cold War in the United States
Social Studies,8,World War I Home Front
Social Studies,8,The Age of Colonialism and Imperialism
Social Studies,8,The Growth of Political Parties in the United States
Social Studies,8,The Gold Rush and Westward Expansion in California
Social Studies,8,World War II Home Front
Social Studies,8,The American Industrial Revolution
Social Studies,8,The Ancient Civilizations of Japan
Social Studies,8,The Korean War
Social Studies,8,The Great Depression in Europe
Social Studies,8,The United States in the Gilded Age
Social Studies,8,The Age of Reformation
Social Studies,8,The Reconstruction Era in American History
Social Studies,8,The Constitution and the Bill of Rights
Social Studies,8,The Spanish-American War
