subject,grade,topic
Language,5,Editing and Proofreading Skills
Language,5,Figurative Language in Song Lyrics
Language,5,Understanding Literary Devices
Language,5,Parts of a Paragraph
Language,5,Analyzing Textual Structure
Language,5,Understanding Poetry Forms
Language,5,Syllables and Accentuation
Language,5,Types of Literary Devices
Language,5,Analyze and Interpret Fables
Language,5,Sentence Fluency
Language,5,Parts of a Research Paper
Language,5,Parts of an Essay
Language,5,Writing a Narrative Essay
Language,5,Understanding Homophones
Language,6,Writing a News Article
Language,6,Writing a Descriptive Essay
Language,6,Creating and Analyzing Multi-Paragraph Essays
Language,6,Dialogue Tags
Language,6,Reading Comprehension Strategies
Language,6,Grammar Mechanics
Language,6,Building Vocabulary Skills
Language,6,Literary Elements
Language,6,Understanding Irony
Language,6,Understanding Tone and Mood
Language,6,Analyzing Elements of Drama
Language,6,Idioms
Language,6,Analyzing Textual Themes
Language,6,Analyzing Historical Fiction
Language,6,Inferencing and Drawing Conclusions
Language,6,Using Context Clues
Language,6,Understanding Mythological Allusions
Language,6,Editing for Correct Usage of Apostrophes
Language,6,Suffixes
Language,6,Writing Dialogue in a Story
Language,6,Adjectives and Adverbs
Language,6,Reading Response Journals
Language,6,Writing a Literary Analysis
Language,6,Types of Poetic Forms
Language,6,Using Transition Words and Phrases
Language,7,Sentence Patterns
Language,7,Understanding Homonyms
Language,7,Analyze and Interpret Short Stories
Language,7,Comparing and Contrasting Characters
Language,7,Understanding the Elements of Mystery Writing
Language,7,Understanding Graphic Novels
Language,7,Analyzing Proverbs
Language,7,Writing a Research Report
Language,7,Writing a Friendly Letter
Language,7,Understanding Informational Text Structures
Language,7,Elements of Short Story Writing
Language,7,Analyzing Poetry Devices
Language,7,Figurative Language in Graphic Novels
Language,7,Elements of Conflict Resolution
Language,7,Analyzing Historical Events through Literature
Language,7,Understanding Literary Theme
Language,7,Analyze and Interpret Literary Symbols
Language,7,Drama Elements and Characteristics
Language,7,Understanding Author's Tone
Language,7,Analyze and Interpret Argumentative Texts
Language,7,Understanding Literary Elements in Science Fiction
Language,7,Analyzing Graphic Novels
Language,7,Narrative Elements
Language,7,Understanding Mythology of Different Cultures
Language,7,Editing for Consistency and Coherence
Language,8,Analyzing the Hero's Journey
Language,8,Analyzing Historical Documents in Literature
Language,8,Comparing and Contrasting Poems
Language,8,Writing a Response to Literature
Language,8,Editing for Sentence Fragments
Language,8,Understanding Oral Tradition
Language,8,Analyzing Shakespearean Sonnets
Language,8,Analyzing Poetry Forms
Language,8,Foreign Words and Phrases in Literature
Language,8,Textual Evidence in Literature
Language,8,Understanding Literary Devices in World Literature
Language,8,Elements of Gothic Literature
Language,8,Understanding Folklore in Literature
Language,8,Analyze and Interpret Dramatic Literature
Language,8,Understanding Formal and Informal Language
Language,8,Analyzing Author's Tone
Language,8,Analyzing Themes in Literature
Language,8,Elements of Science Fiction
Language,8,Analyzing Symbolism in Literature
Language,8,Understanding Documentary Film Analysis
Language,8,Parts of a Speech
Language,8,Writing a Personal Narrative
Language,8,Analyzing Argumentative Texts
Language,8,Analyzing Literary Characters
Language,8,Voice and Point of View
